Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
womens-leather-plain-shoulder-bag-mkz-756456,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Beige</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1454200602SHAH</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756456?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Beige,MKZ-756456-756456001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1454-37-756456-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1454-37-756456-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756455,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Blue</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1454200601SHAH</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756455?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Blue,MKZ-756455-756455001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1454-37-756455-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1454-37-756455-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756462,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Brown</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203197TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756462?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Brown,MKZ-756462-756462001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756462-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756462-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756463,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Purple</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203198TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756463?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Purple,MKZ-756463-756463001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756463-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756463-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-printed-shoulder-bag-mkz-756464,Women's Leather Printed Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Printed</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Maroon</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203199TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-printed-shoulder-bag/756464?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Maroon,MKZ-756464-756464001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756464-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756464-product-1.webp,Women's Leather Printed Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756468,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Green</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203201TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756468?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Green,MKZ-756468-756468001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756468-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756468-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-printed-shoulder-bag-mkz-756469,Women's Leather Printed Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Printed</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Black</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203202TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-printed-shoulder-bag/756469?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Black,MKZ-756469-756469001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756469-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756469-product-1.webp,Women's Leather Printed Shoulder Bag,draft
womens-leather-plain-shoulder-bag-mkz-756475,Women's Leather Plain Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Plain</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Beige</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203208TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-plain-shoulder-bag/756475?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Beige,MKZ-756475-756475001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756475-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756475-product-1.webp,Women's Leather Plain Shoulder Bag,draft
womens-leather-printed-shoulder-bag-mkz-756474,Women's Leather Printed Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Printed</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Purple</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203207TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-printed-shoulder-bag/756474?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Purple,MKZ-756474-756474001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756474-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756474-product-1.webp,Women's Leather Printed Shoulder Bag,draft
womens-leather-printed-shoulder-bag-mkz-756473,Women's Leather Printed Shoulder Bag,"<ul><li>Material: Leather</li><li>Pattern: Printed</li><li>Number Of Pieces: 1 Pc</li><li>Gender: Women's</li><li>Color: Pink</li><li>Package Includes: 1 x Shoulder Bag</li><li>Length: 7 Inches</li><li>Width: 11 Inches</li><li>Note: There might be an error of 1-3 cm due to manual measurement, and slight color differences may occur as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1598203206TEWHHB</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/womens-leather-printed-shoulder-bag/756473?ref=mkzx-c686663b-54db-5d52-86d8-87704de1faa6"">View this product on Markaz</a></p>",NAAZ,Shoulder Bag,"Women's Handbags, Shoulder Bags",FALSE,Color,Pink,MKZ-756473-756473001,0,,,continue,manual,1911,TRUE,https://www.markaz.app/api/export/image/1598-37-756473-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1598-37-756473-product-1.webp,Women's Leather Printed Shoulder Bag,draft
